覚える技1,覚える技2,覚える技3,覚える技4,覚える技5,覚える技6,覚える技7,覚える技8,覚える技9,覚える技10,覚える技11,覚える技12,覚える技13,覚える技14,覚える技15,覚える技16,覚える技17,覚える技18,覚える技19,覚える技20,覚える技21,覚える技22,覚える技23,覚える技24,覚える技25,覚える技26,覚える技27,覚える技28,覚える技29,覚える技30,覚える技31,覚える技32,覚える技33,覚える技34,覚える技35,覚える技36,覚える技37,覚える技38,覚える技39,覚える技40,覚える技41,覚える技42,覚える技43,覚える技44,覚える技45,覚える技46,覚える技47,覚える技48,覚える技49,覚える技50,覚える技51,覚える技52,覚える技53,覚える技54,覚える技55,覚える技56,覚える技57,覚える技58,覚える技59,覚える技60,覚える技61,覚える技62,覚える技63,覚える技64,覚える技65,覚える技66,覚える技67,覚える技68,覚える技69,覚える技70,覚える技71,覚える技72,覚える技73,覚える技74,覚える技75,覚える技76,覚える技77,覚える技78,覚える技79,覚える技80,覚える技81,覚える技82,覚える技83,覚える技84,覚える技85,覚える技86,覚える技87,覚える技88,覚える技89,覚える技90,覚える技91,覚える技92,覚える技93,覚える技94,覚える技95,覚える技96,覚える技97,覚える技98,覚える技99,覚える技100,覚える技101,覚える技102,覚える技103,覚える技104,覚える技105,覚える技106,覚える技107,覚える技108,覚える技109,覚える技110,覚える技111,覚える技112,覚える技113,覚える技114,覚える技115,覚える技116,覚える技117,覚える技118,覚える技119,覚える技120,覚える技121,覚える技122,覚える技123,覚える技124,覚える技125,覚える技126,覚える技127,覚える技128,覚える技129,覚える技130,覚える技131,覚える技132,覚える技133,覚える技134,覚える技135,覚える技136,覚える技137,覚える技138,覚える技139,覚える技140,覚える技141,覚える技142,覚える技143,覚える技144,覚える技145,覚える技146,覚える技147,覚える技148,覚える技149,覚える技150,覚える技151,覚える技152,覚える技153,覚える技154,覚える技155,覚える技156,覚える技157,覚える技158,覚える技159,覚える技160,覚える技161,覚える技162,覚える技163,覚える技164,覚える技165,覚える技166,覚える技167,覚える技168,覚える技169
"""あやしいひかり""","""たがやす""","""たいあたり""","""にらみつける""","""かみつく""","""けたぐり""","""あやしいひかり""","""にらみつける""","""かみつく""","""がまん""","""みきり""","""すなかけ""","""かみくだく""","""さいみんじゅつ""","""いかりのまえば""","""おさきにどうぞ""","""きあいだめ""","""じこあんじ""","""ひっさつまえば""","""わるだくみ""","""くろいまなざし""","""バトンタッチ""","""たたきつける""","""ふるいたてる""","""どくどく""","""めざめるパワー""","""にほんばれ""","""はかいこうせん""","""ひかりのかべ""","""まもる""","""あまごい""","""やつあたり""","""10まんボルト""","""かみなり""","""おんがえし""","""シャドーボール""","""かげぶんしん""","""かえんほうしゃ""","""からげんき""","""ねむる""","""メロメロ""","""りんしょう""","""きあいだま""","""なげつける""","""ギガインパクト""","""でんじは""","""つるぎのまい""","""じこあんじ""","""ゆめくい""","""くさむすび""","""いばる""","""ねごと""","""みがわり""","""ないしょばなし""","""いやなおと""","""じたばた""","""みやぶる""","""おいうち""","""アイアンテール""","""リベンジ""","""タネマシンガン""","""ダメおし""","""なみだめ""","""ほのおのパンチ""","""れいとうパンチ""","""かみなりパンチ""","""けたぐり""","""いかりのまえば""","""いびき""","""アイアンテール""","""きあいパンチ""","""てだすけ""","""はたきおとす""","""がむしゃら""","""シグナルビーム""","""ほしがる""","""でんげきは""","""とっておき""","""アクアテール""","""タネばくだん""","""しねんのずつき""","""ダストシュート""","""おさきにどうぞ""","""じだんだ""","""とぎすます""","""いあいぎり""","""あなをほる""","""ひみつのちから""","""かたきうち""","""かいりき""","""フラッシュ""","""いわくだき""","""グロウパンチ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""にらみつける""","""たいあたり""","""ふるいたてる""","""かみつく""","""かたきうち""","""つぶらなひとみ""","""じゃれつく""","""かみくだく""","""とっしん""","""てだすけ""","""きしかいせい""","""ほえる""","""とっておき""","""ギガインパクト""","""ギガインパクト""","""でんじは""","""あなをほる""","""ねむる""","""いびき""","""まもる""","""あまえる""","""メロメロ""","""あまごい""","""にほんばれ""","""からげんき""","""てだすけ""","""がんせきふうじ""","""しっぺがえし""","""かみなりのキバ""","""こおりのキバ""","""ほのおのキバ""","""りんしょう""","""かたきうち""","""バークアウト""","""10まんボルト""","""みがわり""","""きしかいせい""","""こらえる""","""ねごと""","""かみくだく""","""シャドーボール""","""さわぐ""","""ハイパーボイス""","""ふるいたてる""","""ワイルドボルト""","""じゃれつく""","""サイコファング""","""したでなめる""","""どろかけ""","""あくび""","""とおぼえ""","""ほしがる""","""おさきにどうぞ""","""かぎわける""","""どくどく""","""かげぶんしん""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""つばめがえし""","""ないしょばなし""","""すなかけ""","""おいうち""","""でんげきは""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""にらみつける""","""たいあたり""","""かみつく""","""ふるいたてる""","""かたきうち""","""つぶらなひとみ""","""じゃれつく""","""かみくだく""","""とっしん""","""てだすけ""","""きしかいせい""","""ほえる""","""とっておき""","""ギガインパクト""","""ギガインパクト""","""でんじは""","""あなをほる""","""ねむる""","""いびき""","""まもる""","""あまえる""","""メロメロ""","""あまごい""","""にほんばれ""","""からげんき""","""てだすけ""","""がんせきふうじ""","""しっぺがえし""","""かみなりのキバ""","""こおりのキバ""","""ほのおのキバ""","""りんしょう""","""かたきうち""","""バークアウト""","""なみのり""","""10まんボルト""","""みがわり""","""きしかいせい""","""こらえる""","""ねごと""","""かみくだく""","""シャドーボール""","""さわぐ""","""ハイパーボイス""","""ふるいたてる""","""ワイルドボルト""","""じゃれつく""","""サイコファング""","""したでなめる""","""どろかけ""","""あくび""","""とおぼえ""","""ほしがる""","""おさきにどうぞ""","""かぎわける""","""どくどく""","""かげぶんしん""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""つばめがえし""","""ないしょばなし""","""かいりき""","""すなかけ""","""おいうち""","""でんげきは""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""こおりのキバ""","""ほのおのキバ""","""かみなりのキバ""","""にらみつける""","""たいあたり""","""かみつく""","""ふるいたてる""","""かたきうち""","""つぶらなひとみ""","""じゃれつく""","""かみくだく""","""とっしん""","""てだすけ""","""きしかいせい""","""ほえる""","""とっておき""","""ギガインパクト""","""はかいこうせん""","""ギガインパクト""","""でんじは""","""あなをほる""","""ねむる""","""いびき""","""まもる""","""あまえる""","""メロメロ""","""あまごい""","""にほんばれ""","""からげんき""","""てだすけ""","""がんせきふうじ""","""しっぺがえし""","""かみなりのキバ""","""こおりのキバ""","""ほのおのキバ""","""りんしょう""","""かたきうち""","""バークアウト""","""じだんだ""","""なみのり""","""10まんボルト""","""かみなり""","""みがわり""","""きしかいせい""","""こらえる""","""ねごと""","""かみくだく""","""シャドーボール""","""さわぐ""","""ばかぢから""","""ハイパーボイス""","""アイアンヘッド""","""ふるいたてる""","""ワイルドボルト""","""じゃれつく""","""サイコファング""","""したでなめる""","""どろかけ""","""あくび""","""とおぼえ""","""ほしがる""","""おさきにどうぞ""","""かぎわける""","""どくどく""","""かげぶんしん""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""いわくだき""","""ひみつのちから""","""つばめがえし""","""ないしょばなし""","""かいりき""","""すなかけ""","""おいうち""","""でんげきは""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ひっかく""","""なきごえ""","""すなかけ""","""ねこだまし""","""みだれひっかき""","""いちゃもん""","""ダメおし""","""つめとぎ""","""ふいうち""","""わるだくみ""","""つじぎり""","""じゃれつく""","""ネコにこばん""","""でんじは""","""いやなおと""","""ねむる""","""どろぼう""","""いびき""","""まもる""","""あまえる""","""メロメロ""","""あまごい""","""にほんばれ""","""からげんき""","""スピードスター""","""うそなき""","""とんぼがえり""","""しっぺがえし""","""ダメおし""","""シャドークロー""","""りんしょう""","""バークアウト""","""みがわり""","""こらえる""","""ねごと""","""バトンタッチ""","""アンコール""","""アイアンテール""","""シャドーボール""","""ちょうはつ""","""トリック""","""ハイパーボイス""","""あくのはどう""","""タネばくだん""","""わるだくみ""","""ダストシュート""","""くさむすび""","""イカサマ""","""じゃれつく""","""でんこうせっか""","""かげぶんしん""","""きりさく""","""あくび""","""ほしがる""","""まねっこ""","""うっぷんばらし""","""おいうち""","""ねこのて""","""よこどり""","""ゆうわく""","""いあいぎり""","""どくどく""","""ゆめくい""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""じこあんじ""","""ひみつのちから""","""つばめがえし""","""さしおさえ""","""エコーボイス""","""ないしょばなし""","""だましうち""","""うらみ""","""なりきり""","""はたきおとす""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ひっかく""","""なきごえ""","""すなかけ""","""ねこだまし""","""みだれひっかき""","""いちゃもん""","""ダメおし""","""つめとぎ""","""ふいうち""","""わるだくみ""","""つじぎり""","""じゃれつく""","""ネコにこばん""","""はかいこうせん""","""ギガインパクト""","""でんじは""","""いやなおと""","""ねむる""","""どろぼう""","""いびき""","""まもる""","""あまえる""","""メロメロ""","""あまごい""","""にほんばれ""","""からげんき""","""スピードスター""","""うそなき""","""とんぼがえり""","""しっぺがえし""","""ダメおし""","""シャドークロー""","""サイコカッター""","""りんしょう""","""バークアウト""","""みがわり""","""こらえる""","""ねごと""","""バトンタッチ""","""アンコール""","""アイアンテール""","""シャドーボール""","""ちょうはつ""","""トリック""","""ハイパーボイス""","""あくのはどう""","""タネばくだん""","""わるだくみ""","""ダストシュート""","""くさむすび""","""イカサマ""","""じゃれつく""","""じごくづき""","""でんこうせっか""","""かげぶんしん""","""きりさく""","""あくび""","""ほしがる""","""まねっこ""","""はいよるいちげき""","""しっとのほのお""","""うっぷんばらし""","""おいうち""","""ねこのて""","""よこどり""","""ゆうわく""","""いあいぎり""","""どくどく""","""ゆめくい""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""じこあんじ""","""ひみつのちから""","""つばめがえし""","""さしおさえ""","""エコーボイス""","""ないしょばなし""","""いわくだき""","""だましうち""","""うらみ""","""なりきり""","""はたきおとす""","""とぎすます""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ひっかく""","""なかよくする""","""にらみつける""","""したでなめる""","""つるのムチ""","""みだれひっかき""","""やどりぎのタネ""","""かみつく""","""タネばくだん""","""いちゃもん""","""なげつける""","""アクロバット""","""くさむすび""","""リサイクル""","""しぜんのめぐみ""","""かみくだく""","""ふるいたてる""","""どくどく""","""めざめるパワー""","""にほんばれ""","""ちょうはつ""","""まもる""","""やつあたり""","""ソーラービーム""","""おんがえし""","""かげぶんしん""","""がんせきふうじ""","""いちゃもん""","""からげんき""","""ねむる""","""メロメロ""","""どろぼう""","""ローキック""","""りんしょう""","""エナジーボール""","""なげつける""","""アクロバット""","""シャドークロー""","""しっぺがえし""","""くさむすび""","""いばる""","""ねごと""","""みがわり""","""しぜんのちから""","""ないしょばなし""","""けたぐり""","""なりきり""","""おどろかす""","""くさぶえ""","""くすぐる""","""タネマシンガン""","""ほしがる""","""マジカルリーフ""","""わるだくみ""","""リーフストーム""","""チャームボイス""","""ニードルガード""","""けたぐり""","""いびき""","""ギガドレイン""","""アイアンテール""","""こうごうせい""","""さわぐ""","""きあいパンチ""","""てだすけ""","""なりきり""","""リサイクル""","""はたきおとす""","""がむしゃら""","""ほしがる""","""いえき""","""なやみのタネ""","""タネばくだん""","""ダストシュート""","""くさのちかい""","""いあいぎり""","""あなをほる""","""フラッシュ""","""いわくだき""","""ひみつのちから""","""つめとぎ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""にらみつける""","""したでなめる""","""みだれひっかき""","""タネばくだん""","""ふるいたてる""","""どくどく""","""めざめるパワー""","""にほんばれ""","""ちょうはつ""","""はかいこうせん""","""まもる""","""やつあたり""","""ソーラービーム""","""おんがえし""","""かわらわり""","""かげぶんしん""","""がんせきふうじ""","""いちゃもん""","""からげんき""","""ねむる""","""メロメロ""","""どろぼう""","""ローキック""","""りんしょう""","""きあいだま""","""エナジーボール""","""なげつける""","""アクロバット""","""シャドークロー""","""しっぺがえし""","""ギガインパクト""","""いわなだれ""","""くさむすび""","""いばる""","""ねごと""","""みがわり""","""しぜんのちから""","""ないしょばなし""","""けたぐり""","""なりきり""","""おどろかす""","""くさぶえ""","""くすぐる""","""タネマシンガン""","""ほしがる""","""マジカルリーフ""","""わるだくみ""","""リーフストーム""","""チャームボイス""","""ニードルガード""","""けたぐり""","""いびき""","""ギガドレイン""","""アイアンテール""","""こうごうせい""","""さわぐ""","""きあいパンチ""","""てだすけ""","""なりきり""","""ばかぢから""","""リサイクル""","""はたきおとす""","""がむしゃら""","""ほしがる""","""いえき""","""なやみのタネ""","""タネばくだん""","""ダストシュート""","""じごくづき""","""くさのちかい""","""なかよくする""","""つるのムチ""","""やどりぎのタネ""","""かみつく""","""しぜんのめぐみ""","""かみくだく""","""いあいぎり""","""あなをほる""","""フラッシュ""","""いわくだき""","""ひみつのちから""","""つめとぎ""","""グロウパンチ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ひっかく""","""なかよくする""","""にらみつける""","""したでなめる""","""やきつくす""","""みだれひっかき""","""あくび""","""かみつく""","""はじけるほのお""","""ドわすれ""","""なげつける""","""アクロバット""","""だいもんじ""","""リサイクル""","""しぜんのめぐみ""","""かみくだく""","""ふるいたてる""","""どくどく""","""めざめるパワー""","""にほんばれ""","""ちょうはつ""","""まもる""","""やつあたり""","""ソーラービーム""","""おんがえし""","""かげぶんしん""","""かえんほうしゃ""","""だいもんじ""","""がんせきふうじ""","""いちゃもん""","""からげんき""","""ニトロチャージ""","""ねむる""","""メロメロ""","""どろぼう""","""ローキック""","""りんしょう""","""オーバーヒート""","""なげつける""","""おにび""","""アクロバット""","""シャドークロー""","""しっぺがえし""","""くさむすび""","""いばる""","""ねごと""","""みがわり""","""ないしょばなし""","""ほのおのパンチ""","""けたぐり""","""ほのおのうず""","""ねごと""","""ねっぷう""","""なりきり""","""おどろかす""","""くすぐる""","""ほしがる""","""フレアドライブ""","""わるだくみ""","""チャームボイス""","""ほのおのパンチ""","""けたぐり""","""いびき""","""アイアンテール""","""さわぐ""","""ねっぷう""","""きあいパンチ""","""てだすけ""","""なりきり""","""リサイクル""","""はたきおとす""","""がむしゃら""","""ほしがる""","""いえき""","""ダストシュート""","""ほのおのちかい""","""いあいぎり""","""あなをほる""","""いわくだき""","""ひみつのちから""","""つめとぎ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""にらみつける""","""したでなめる""","""みだれひっかき""","""はじけるほのお""","""ふるいたてる""","""どくどく""","""めざめるパワー""","""にほんばれ""","""ちょうはつ""","""はかいこうせん""","""まもる""","""やつあたり""","""ソーラービーム""","""おんがえし""","""かわらわり""","""かげぶんしん""","""かえんほうしゃ""","""だいもんじ""","""がんせきふうじ""","""いちゃもん""","""からげんき""","""ニトロチャージ""","""ねむる""","""メロメロ""","""どろぼう""","""ローキック""","""りんしょう""","""オーバーヒート""","""きあいだま""","""なげつける""","""おにび""","""アクロバット""","""シャドークロー""","""しっぺがえし""","""ギガインパクト""","""いわなだれ""","""くさむすび""","""いばる""","""ねごと""","""みがわり""","""ないしょばなし""","""ほのおのパンチ""","""けたぐり""","""ほのおのうず""","""ねごと""","""ねっぷう""","""なりきり""","""おどろかす""","""くすぐる""","""ほしがる""","""フレアドライブ""","""わるだくみ""","""チャームボイス""","""ほのおのパンチ""","""けたぐり""","""いびき""","""アイアンテール""","""さわぐ""","""ねっぷう""","""きあいパンチ""","""てだすけ""","""なりきり""","""ばかぢから""","""リサイクル""","""はたきおとす""","""がむしゃら""","""ほしがる""","""いえき""","""ダストシュート""","""じごくづき""","""ほのおのちかい""","""なかよくする""","""やきつくす""","""あくび""","""かみつく""","""ドわすれ""","""しぜんのめぐみ""","""かみくだく""","""いあいぎり""","""あなをほる""","""いわくだき""","""ひみつのちから""","""つめとぎ""","""グロウパンチ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""ひっかく""","""なかよくする""","""にらみつける""","""したでなめる""","""みずでっぽう""","""みだれひっかき""","""みずあそび""","""かみつく""","""ねっとう""","""ちょうはつ""","""なげつける""","""アクロバット""","""しおみず""","""リサイクル""","""しぜんのめぐみ""","""かみくだく""","""ふるいたてる""","""どくどく""","""あられ""","""めざめるパワー""","""ちょうはつ""","""れいとうビーム""","""ふぶき""","""まもる""","""あまごい""","""やつあたり""","""おんがえし""","""かげぶんしん""","""がんせきふうじ""","""いちゃもん""","""からげんき""","""ねむる""","""メロメロ""","""どろぼう""","""ローキック""","""りんしょう""","""ねっとう""","""なげつける""","""アクロバット""","""シャドークロー""","""しっぺがえし""","""くさむすび""","""いばる""","""ねごと""","""みがわり""","""なみのり""","""たきのぼり""","""ないしょばなし""","""ハイドロポンプ""","""けたぐり""","""なりきり""","""どろあそび""","""おどろかす""","""くすぐる""","""ほしがる""","""アクアリング""","""アクアテール""","""わるだくみ""","""チャームボイス""","""れいとうパンチ""","""けたぐり""","""いびき""","""こごえるかぜ""","""アイアンテール""","""さわぐ""","""きあいパンチ""","""てだすけ""","""なりきり""","""リサイクル""","""はたきおとす""","""がむしゃら""","""ほしがる""","""みずのはどう""","""いえき""","""アクアテール""","""ダストシュート""","""みずのちかい""","""いあいぎり""","""あなをほる""","""いわくだき""","""ひみつのちから""","""ダイビング""","""つめとぎ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""にらみつける""","""したでなめる""","""みだれひっかき""","""ねっとう""","""ふるいたてる""","""どくどく""","""あられ""","""めざめるパワー""","""ちょうはつ""","""れいとうビーム""","""ふぶき""","""はかいこうせん""","""まもる""","""あまごい""","""やつあたり""","""おんがえし""","""かわらわり""","""かげぶんしん""","""がんせきふうじ""","""いちゃもん""","""からげんき""","""ねむる""","""メロメロ""","""どろぼう""","""ローキック""","""りんしょう""","""きあいだま""","""ねっとう""","""なげつける""","""アクロバット""","""シャドークロー""","""しっぺがえし""","""ギガインパクト""","""いわなだれ""","""くさむすび""","""いばる""","""ねごと""","""みがわり""","""なみのり""","""たきのぼり""","""ないしょばなし""","""ハイドロポンプ""","""けたぐり""","""なりきり""","""どろあそび""","""おどろかす""","""くすぐる""","""ほしがる""","""アクアリング""","""アクアテール""","""わるだくみ""","""チャームボイス""","""れいとうパンチ""","""けたぐり""","""いびき""","""こごえるかぜ""","""アイアンテール""","""さわぐ""","""きあいパンチ""","""てだすけ""","""なりきり""","""ばかぢから""","""リサイクル""","""はたきおとす""","""がむしゃら""","""ほしがる""","""みずのはどう""","""いえき""","""アクアテール""","""ダストシュート""","""じごくづき""","""みずのちかい""","""なかよくする""","""みずでっぽう""","""みずあそび""","""かみつく""","""しおみず""","""しぜんのめぐみ""","""かみくだく""","""いあいぎり""","""あなをほる""","""いわくだき""","""ひみつのちから""","""ダイビング""","""つめとぎ""","""グロウパンチ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
"""まるくなる""","""アシストパワー""","""さいみんじゅつ""","""サイケこうせん""","""ふういん""","""つきのひかり""","""マジックコート""","""しねんのずつき""","""めいそう""","""あくび""","""サイコキネシス""","""ムーンフォース""","""ゆめくい""","""みらいよち""","""ワンダールーム""","""でんじは""","""ひかりのかべ""","""リフレクター""","""しんぴのまもり""","""ねむる""","""いわなだれ""","""いびき""","""まもる""","""メロメロ""","""あまごい""","""からげんき""","""スピードスター""","""てだすけ""","""ふういん""","""がんせきふうじ""","""パワースワップ""","""ガードスワップ""","""トリックルーム""","""ワンダールーム""","""りんしょう""","""サイコキネシス""","""ドわすれ""","""みがわり""","""サイコショック""","""こらえる""","""ねごと""","""シャドーボール""","""みらいよち""","""トリック""","""スキルスワップ""","""めいそう""","""ジャイロボール""","""エナジーボール""","""しねんのずつき""","""アシストパワー""","""サイドチェンジ""","""マジカルシャイン""","""のろい""","""いやしのねがい""","""ワイドフォース""","""サイコウェーブ""","""あくむ""","""おまじない""","""テレキネシス""","""シンクロノイズ""","""どくどく""","""かげぶんしん""","""フラッシュ""","""いばる""","""おんがえし""","""やつあたり""","""めざめるパワー""","""じこあんじ""","""いちゃもん""","""ひみつのちから""","""チャージビーム""","""ないしょばなし""","""ソニックブーム""","""バリアー""","""バトンタッチ""","""いやしのすず""","""いたみわけ""","""シグナルビーム""","""でんげきは""","""じゅうりょく""","""なやみのタネ""","""おさきにどうぞ""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
